true_labels,predictions
0.0,0.13945359455921133
0.0,0.14194405132325297
0.0,0.14094405132325297
1.0,0.13846992325837904
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.005
0.0,0.005
0.0,0.0045
0.0,0.004
0.0,0.006
0.0,0.0015
0.0,0.0005
0.0,0.0005
0.0,0.0005
0.0,0.0005
0.0,0.005
0.0,0.0045
0.0,0.005
0.0,0.005
0.0,0.004
0.0,0.0035
0.0,0.0035
0.0,0.0035
0.0,0.0035
0.0,0.004
0.0,0.0055
0.0,0.006
0.0,0.0075
0.0,0.009
0.0,0.009
0.0,0.01
0.0,0.009
0.0,0.0085
0.0,0.0105
0.0,0.0095
0.0,0.0105
0.0,0.0095
0.0,0.008
0.0,0.0065
0.0,0.0065
0.0,0.0055
0.0,0.005
0.0,0.0065
0.0,0.0085
0.0,0.0055
0.0,0.005
1.0,0.0065
0.0,0.003
0.0,0.004
0.0,0.0045
0.0,0.0045
0.0,0.005
0.0,0.0065
0.0,0.0055
0.0,0.0055
0.0,0.0075
0.0,0.01
0.0,0.011
0.0,0.011
0.0,0.011
1.0,0.0115
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0005
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0085
0.0,0.0035
0.0,0.003
0.0,0.003
0.0,0.011
0.0,0.003
0.0,0.0025
0.0,0.004
0.0,0.013
0.0,0.0085
0.0,0.009
0.0,0.011
0.0,0.0125
0.0,0.012
0.0,0.009
0.0,0.0085
0.0,0.0075
0.0,0.009
0.0,0.008
0.0,0.007
0.0,0.008
0.0,0.0095
0.0,0.0095
0.0,0.0085
0.0,0.0095
0.0,0.0125
0.0,0.013
0.0,0.0335
0.0,0.0225
0.0,0.0515
0.0,0.0355
0.0,0.0205
0.0,0.01
0.0,0.009
0.0,0.0095
0.0,0.009
0.0,0.008
0.0,0.0065
0.0,0.005
0.0,0.005
0.0,0.006495697263901147
0.0,0.006
0.0,0.007
0.0,0.006
0.0,0.007
0.0,0.0075
0.0,0.005
0.0,0.0045
0.0,0.005
0.0,0.005
0.0,0.0045
0.0,0.004
0.0,0.001
0.0,0.001
0.0,0.002
0.0,0.001
0.0,0.003
0.0,0.0065
0.0,0.007
0.0,0.002
1.0,0.0025
0.0,0.0345
0.0,0.0319943733451015
0.0,0.0384943733451015
0.0,0.029
0.0,0.0345
0.0,0.0474943733451015
0.0,0.0155
0.0,0.0055
0.0,0.005
0.0,0.0045
0.0,0.0045
0.0,0.0045
0.0,0.0045
0.0,0.0
0.0,0.0
0.0,0.0025
0.0,0.0
0.0,0.0025
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0005
0.0,0.0005
0.0,0.0005
0.0,0.0005
0.0,0.0005
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.001
0.0,0.0
0.0,0.0
0.0,0.004
0.0,0.004
0.0,0.0035
0.0,0.004
0.0,0.0035
0.0,0.0035
0.0,0.004
0.0,0.004
0.0,0.004
0.0,0.004
0.0,0.0045
0.0,0.006
0.0,0.005
0.0,0.0045
0.0,0.0055
0.0,0.019
0.0,0.019
0.0,0.0175
0.0,0.0175
0.0,0.008
0.0,0.017
0.0,0.017
0.0,0.02
0.0,0.0615
0.0,0.0295
0.0,0.028
0.0,0.0275
0.0,0.0255
0.0,0.026
0.0,0.0255
0.0,0.031
0.0,0.027
0.0,0.027
0.0,0.0265
0.0,0.0255
0.0,0.024
0.0,0.024
0.0,0.0225
0.0,0.0225
0.0,0.022
0.0,0.022
0.0,0.023
0.0,0.023
0.0,0.0235
0.0,0.0285
0.0,0.0225
0.0,0.021
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0055
0.0,0.005
0.0,0.0035
0.0,0.003
0.0,0.0025
0.0,0.006
0.0,0.0065
1.0,0.042
0.0,0.0045
0.0,0.0015
0.0,0.0005
0.0,0.0005
0.0,0.0005
0.0,0.0005
